,Ticker,Asset Class Sistema,Asset Class,Geography / Subclass,Indice,Market
59,JPMCIAU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,JPMORGAN FUNDS CHINA FUND,China
60,MACSMCI LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,MATTHEWS ASIA FUNDS CHINA SMALL COMPANIES FUND,China
61,MCHI US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,ISHARES TRUST ISHARES MSCI CHINA INDEX FUND,China
62,PIAHYIA ID EQUITY,RENTA FIJA,RENTA FIJA,Asia ex-Japan,PIMCO FUNDS GLOBAL INVESTORS SERIES PLC PIMCO ASIA HIGH YIELD BOND FUND,General
63,SCGRCIZ LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,SCHRODER INTL SELECTION FUND GREATER CHINA,China
64,SISFCIZ LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,SCHRODER INTERNATIONAL SELECTION FUND CHINA A,China
65,UBCOIA3 LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,UBS LUX EQUITY FUND CHINA OPPORTUNITY USD,China
66,ABEEMI2 LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,ABRDN SICAV I EMERGING MARKETS CORPORATE BOND FUND,General
67,AECHAUC LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,AMUNDI EMMK CORP HIYLD BD A,HY
68,AELCI2E LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,AMUNDI FUNDS EMERGING MARKETS LOCAL CURRENCY BOND,LC
69,AEMBI2U LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,AMUNDI FUNDS EMERGING MARKETS BOND,General
70,AVEMBIU LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,AVIVA INVESTORS EMERGING MARKETS CORPORATE BOND FUND,General
71,AVEMMBI LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,AVIVA INVESTORS EMERGING MARKETS BOND FUND,General
72,BAMSDTB ID EQUITY,RENTA FIJA,RENTA FIJA,Emerging,BARINGS UMBRELLA FUND PLC BARINGS EMERGING MARKETS SOVEREIGN DEBT FUND,General
73,CEMB US EQUITY,RENTA FIJA,RENTA FIJA,Emerging,ISHARES JP MORGAN EM CORPORATE BOND ETF,General
74,CSECMBU LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,CS INVESTMENT FUNDS 3 CREDIT SUISSE LUX EMERGING MARKET CORPORATE INVESTMENT GRADE BOND FUND,IG
75,CYBU NA EQUITY,RENTA FIJA,RENTA FIJA,Emerging,ISHARES CHINA CNY BOND ETF USDH DIS ETF,China
76,ERECKUA LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,EDMOND DE ROTHSCHILD FUND EMERGING CORPORATE BONDS,General
77,GSEMCBI LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,GOLDMAN SACHS FUNDS GOLDMAN SACHS EMERGING MARKETS CORPORATE BOND PORTFOLIO,General
78,GSGEMIA LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,GOLDMAN SACHS FUNDS GOLDMAN SACHS EMERGING MARKETS DEBT PORTFOLIO,General
79,IEMDICU LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,GOLDMAN SACHS FUNDS III GOLDMAN SACHS EMERGING MARKETS DEBT HARD CURRENCY,General
80,IEMLDSA LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,INVESCO EMERGING MARKETS LOCAL DEBT FUND,General
81,INEMCBI LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,NINETY ONE GLOBAL STRATEGY FUND EMERGING MARKETS CORPORATE DEBT,General
82,INEMIGI LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,NINETY ONE GLOBAL STRATEGY FUND EMERGING MARKETS INVESTMENT GRADE CORPORATE DEBT FUND,IG
83,INVDYIA LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,NINETY ONE GLOBAL STRATEGY FUND EMERGING MARKETS LOCAL CURRENCY DYNAMIC DEBT FUND,LC
84,JPEIGIU LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,JPMORGAN FUNDS EMERGING MARKETS INVESTMENT GRADE BOND FUND,IG
85,MEMDIU1 LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,MFS EMERGING MARKETS DEBT FUND - I1,General
86,MFSEDA1 LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,MFS MERIDIAN EMERGING MARKETS DEBT FUND A1,General
87,MLLEUA2 LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,BLACKROCK GLOBAL FUNDS EMERGING MARKETS LOCAL CURRENCY BOND FUND,LC
88,MORINCZ LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,MORGAN STANLEY INVESTMENT FUNDS EMERGING MARKETS LOCAL INCOME FUND,LC
89,MSEMCBZ LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,MORGAN STANLEY INVESTMENT FUNDS EMERGING MARKETS CORPORATE DEBT FUND,General
90,MSEMCDA LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,MS EMERGING MKTS CORP DEBT A,General
91,PAREMBI LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,BNP PARIBAS FUNDS EMERGING BOND,General
92,PECBDIU LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,PICTET EMERGING CORPORATE BONDS,General
