,Ticker,Asset Class Sistema,Asset Class,Geography / Subclass,Indice,Market
380,XLV US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,THE SELECT SECTOR SPDR TRUST THE HEALTH CARE SELECT SECTOR SPDR FUND,Sector
381,VHT US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,VANGUARD WORLD FUNDS VANGUARD HEALTH CARE INDEX FUND,Sector
382,SOXX US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES SEMICONDUCTOR ETF,Sector
383,BGFAMBA LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,BAILLIE GIFFORD OVERSEAS GROWTH FUNDS ICVC BAILLIE GIFFORD AMERICAN FUND,Sector
384,ARKK US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ARK INNOVATION ETF,Sector
385,ARKG US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ARK GENOMIC REVOLUTION ETF,Sector
386,MXASJ INDEX,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,MSCI AC ASIA x JAPAN,General
387,CPXJ LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,ISHARES MSCI PACIFIC EX JAPAN UCITS ETF,General
388,FFASAIU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,FIDELITY FUNDS ASEAN FUND,General
389,EWT US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,ISHARES INC MSCI TAIWAN INDEX,Taiwan
390,GMF US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,SPDR INDEX SHARES FUNDS SPDR SP EMERGING ASIA PACIFIC ETF,General
391,FFEMASI LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,FIDELITY FUNDS EMERGING ASIA FUND,General
392,AAXJ US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,ISHARES MSCI ALL COUNTRY ASIA ES JAPAN,General
393,HSAXJXC LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,HSBC GLOBAL INVESTMENT FUNDS ASIA EX JAPAN EQUITY SMALLER COMPANIES,Small Cap
394,BGFPABA LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,BAILLIE GIFFORD OVERSEAS GROWTH FUNDS ICVC BAILLIE GIFFORD PACIFIC FUND,General
395,SCAOIZU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,SCHRODER INTERNATIONAL SELECTION FUND ASIAN OPPORTUNITIES,General
396,SCHPFCA LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,SCHRODER INTERNATIONAL SELECTION FUND ASIAN OPPORTUNITIES,General
397,SCHPFCA LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,SCHRODER ASIAN OPPORTUNITIES,General
398,PICASEI LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,PICTET ASIAN EQUITIES EX JAPAN,General
399,DWSTAA2 LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,DWS INVEST TOP 50 ASIA,General
400,JPMASCA LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,JPMORGAN FUND ICVC JPM ASIA GROWTH FUND,General
401,PBISEAI ID EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,PINEBRIDGE GLOBAL FUNDS PINEBRIDGE ASIA EX JAPAN SMALL CAP EQUITY FUND,General
402,NCAFLUA ID EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,NEW CAP ASIA FUTR LDER-USDAA,General
403,TEMFRBX LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,TEMPLETON ASIAN GROWTH FUND CLASS N,General
404,NAJHCIU ID EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,NOMURA FUNDS IRELAND PLC ASIA EX JAPAN HIGH CONVICTION FUND,General
405,MSAIOPZ LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,MORGAN STANLEY INVESTMENT FUNDS ASIA OPPORTUNITY FUND,General
406,SCHPFAA LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,SCHRODER INT SELEC FUND ASIAN OPPORTUNITIES,General
407,VERASCU ID EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,VERITAS FUNDS PLC VERITAS ASIAN FUND,General
408,JPALCIA LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,JPMORGAN FUNDS ASIA GROWTH FUND,General
409,JPJFKIA LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,JPMORGAN FUNDS KOREA EQUITY FUND,General
410,JPALPDU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,JPM ASIA GROWTH D,General
411,HCHNOIA LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,HENDERSON INVESTMENT FUNDS SERIES I HENDERSON CHINA OPPORTUNITIES FUND,China
412,EWY US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,ISHARES INC MSCI SOUTH KOREA INDEX,Korea
413,EIDO US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,ISHARES TRUST ISHARES MSCI INDONESIA ETF,Indonesia
414,M3CN INDEX,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,MSCI CHINA USD,China
415,BABUSDA ID EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,BAILLIE GIFFORD WORLDWIDE CHINA A SHARES GROWTH FUND,China
416,CHIQ US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,GLOBAL X FDS MSCICHINA CONSUMER DISCRETIONARY ETF,China
417,KWEB US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,KRANE SHARES TRUST KRANESHARES CSI CHINA INTERNET ETF,China
418,ROCAEIU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,ROBECO CAPITAL GROWTH FUNDS ROBECO CHINESE A SHARE EQUITIES,China
419,MSEUSIA Index,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,MSEUSIA Index,India
420,FEP US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,FIRST TRUST EXCHANGE TRADED ALPHADEX FD II EUROPE,General
421,EZU  US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United Kingdom,ISHARES INC MSCI EMU INDEX,General
422,ACMES1E LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,AB SICAV I EUROZONE EQUITY PORTFOLIO,General
423,DWSAKIC GR EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,DWS INVEST DWS AKTIEN STRATEGIE DEUTSCHLAND,Germany
424,DWSDICE GR EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,DWS INVEST DWS DEUTSCHLAND,Germany
425,SISEAAA LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,SCHRODER INTL EU VAL-AA,General
426,RSLEU3I LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,COLUMBIA THREADNEEDLE (UK) ICVC I THREADNEEDLE SELECT EUROPEAN EQUITY FUND,General
427,INVEUEA LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,INVESCO EUROPEAN INVESTMENT SERIES INVESCO EUROPEAN EQUITY FUND(UK),General
428,DIICEIC LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,DWS INVEST CROCI EURO,General
429,MFEGAU1 LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,MFS MER-EURPN COR EQ-A1USD,General
430,BEUD2UH LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,BGF EUROPEAN FUND CLASS D2 USD HEDGED,General
431,SCEEA1U LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,SCHRODER INT SELECT EURO EQUITY,General
432,BAESEIA LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,BARINGS EUROPE SELECT TRUST,General
433,COMEEIA ID EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,COMGEST GROWTH PLC COMGEST GROWTH EUROPE,General
434,FFEDGIE LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,FIDELITY FUNDS EUROPEAN DYNAMIC GROWTH FUND,General
435,MIGOEAE LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,BGF-CONT EUR FLX-A2 EUR,General
436,BGCEA2A LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,BGF CONTINENTAL EUROPEAN FLEXIBLE,General
437,STPX IM EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,SPDR MSCI EUROPE MATERIALS EUR ACC ETF,Sector
438,MERSEEI LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,BGF-EUROPEAN FUND-A2 EUR,General
439,SCHESSC LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,SCHRODER EUROPE SPEC SIT FD ACC C,General
440,MIGSEUI LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,BGF-EUROPEAN FUND-A2 USD,General
441,MSTEUCA LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,MSIF-EUROPE OPP-A EUR,General
442,ESIT GY EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,ISHARES MSCI EURO IT SECT ETF,General
443,SGESOCA LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,MAN INTERNATIONAL ICVC MAN GLG CONTINENTAL EUROPEAN GROWTH FUND,General
444,STN FP EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,SPDR MSCI EUR ENERGY UCITS ETF,Sector
445,RCMEATU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,ALLIANZ GL INVEST SICAV EUR,General
446,MLEUCCC LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,BGF-EUROPEAN-C2 USD,General
447,MGEIFCE ID EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,MAN FUNDS PLC MAN GLG PAN EUROPEAN EQUITY GROWTH,General
448,BEBEFIE LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,BERENBERG EUROPEAN FOCUS FUND,General
449,MGEGICE ID EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,MAN FUNDS PLC MAN GLG PAN EUROPEAN EQUITY GROWTH,General
450,ESIH GY EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,ISHARES MSCI EURO HEALTH SECT ETF,Sector
451,BESCIIE LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,BERENBERG EUROPEAN SMALL CAP,Small Cap
452,RCMEEGW LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,ALLIANZ GLOBAL INVESTORS FUND ALLIANZ EUROLAND EQUITY GROWTH,General
453,BGFEUBA LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,BAILLIE GIFFORD OVERSEAS GROWTH FUNDS ICVC BAILLIE GIFFORD EUROPEAN FUND,General
454,ESIC GY EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,ISHARES EUROPE CONS DIS EURA ETF,Sector
455,IPSA Index,RENTA VARIABLE,RENTA VARIABLE,Latin America,IPSA Index,Chile
456,LUACTRUU Index,RENTA FIJA,RENTA FIJA,United States,U.S. Corporate Investment Grade Index,IG
457,LF98TRUU Index,RENTA FIJA,RENTA FIJA,United States,U.S. Corporate High Yield,HY
458,ISRZF US EQUITY,RENTA FIJA,RENTA FIJA,United States,ISHARES HIGH YIELD CORPORATE BOND UCITS ETF,HY
459,BSELTRUU Index,RENTA FIJA,RENTA FIJA,Emerging,Bloomberg Emerging Markets LatAm Total Return Index Value Unhedged USD,Latam
460,LGCPTRUH Index,RENTA FIJA,RENTA FIJA,Global,The Bloomberg Global Aggregate - Corporate Index,Global
461,CFIQRGB CI EQUITY,RENTA FIJA,RENTA FIJA,Global,QUEST RENTA GLOBAL FONDO DE INV SERIE B,Global
462,LAMTIUA ID EQUITY,RENTA FIJA,RENTA FIJA,Global,LORD ABBETT GLOBAL FUNDS I PLC - LORD ABBETT MULTI-SECTOR INCOME FUND,Global
463,NGDYGIU ID EQUITY,RENTA FIJA,RENTA FIJA,Global,NOMURA FUNDS IRELAND PLC GLOBAL DYNAMIC BOND FUND,Global
464,PAGLBIC LX EQUITY,RENTA FIJA,RENTA FIJA,Global,BNP PARIBAS FUNDS SUSTAINABLE GLOBAL CORPORATE BOND,Global
465,UBSCI56 LX EQUITY,RENTA FIJA,RENTA FIJA,Global,UBS LUX BOND SICAV CONVERT GLOBAL EUR,Global
466,BBICIUA LX EQUITY,RENTA FIJA,RENTA FIJA,Global,BLUEBAY FUNDS BLUEBAY GLOBAL INVESTMENT GRADE CORPORATE BOND FUND,Global
467,RGCRIHU LX EQUITY,RENTA FIJA,RENTA FIJA,Global,ROBECO CAPITAL GROWTH FUNDS ROBECO GLOBAL CREDITS,Global
468,GSGCHIA LX EQUITY,RENTA FIJA,RENTA FIJA,Global,GOLDMAN SACHS FUNDS GOLDMAN SACHS GLOBAL CREDIT PORTFOLIO HEDGED,Global
469,SGCBIZU LX EQUITY,RENTA FIJA,RENTA FIJA,Global,SCHRODER INTERNATIONAL SELECTION FUND GLOBAL CONVERTIBLE BOND,Global
470,MLGCBA2 LX EQUITY,RENTA FIJA,RENTA FIJA,Global,BGF GLOBAL CORPORATE BOND A,Global
471,MGLOA1U LX EQUITY,RENTA FIJA,RENTA FIJA,Global,MFS MERIDIAN GLB OPP BND FUND,Global
472,PGIGCEA ID EQUITY,RENTA FIJA,RENTA FIJA,Global,PIMCO GLOBAL INVESTMENT GRADE CREDIT FUND E,Global
473,MGLBI1U LX EQUITY,RENTA FIJA,RENTA FIJA,Global,MFS MERIDIAN GLB CR FD-I1USD,Global
474,FORBCWI LX EQUITY,RENTA FIJA,RENTA FIJA,Global,BNP PARIBAS FUNDS GLOBAL CONVERTIBLE,Global
475,DWSFCCE LX EQUITY,RENTA FIJA,RENTA FIJA,Global,DWS INVEST CONVERTIBLES,Global
476,NCWNUnited States ID EQUITY,RENTA FIJA,RENTA FIJA,Global,NEW CAPITAL UCITS FUND PLC NEW CAPITAL WEALTHY NATIONS BOND FUND,Global
477,FGCSIAU LX EQUITY,RENTA FIJA,RENTA FIJA,Global,FRANKLIN TEMPLETON INVESTMENT FUNDS FRANKLIN GLOBAL CONVERTIBLE SECURITIES FUND,Global
478,OBJCGAU FP EQUITY,RENTA FIJA,RENTA FIJA,Global,LAZARD GLOBAL INVESTMENT FUNDS PLC LAZARD CONVERTIBLE GLOBAL,Global
479,LG20TRUU Index,RENTA FIJA,RENTA FIJA,Emerging,The Bloomberg Emerging Markets Hard Currency Aggregate Index ,HC
480,AMDVASC CI EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,"AMERIS DVA SILICON FUND FI, SERIE C",Sector
481,MFIC US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,MIDCAP FINANCIAL INVESTMENT,Sector
482,BTGABED CI EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,BTG PACTUAL ABSOLUTO BRASIL EQUITY FUND,Brazil
483,LAUSBZA ID EQUITY,RENTA FIJA,RENTA FIJA,US IG,LORD ABBETT ULTRA SHORT BOND Z USD ACC,Fund
484,MUSDHYA LX EQUITY,RENTA FIJA,RENTA FIJA,Global HY,MORGAN STANLEY INVF U.S. DOLLAR SHORT DURATION HIGH YIELD BOND FUND CLASS A,Fund
485,MFW1USD LX EQUITY,RENTA FIJA,RENTA FIJA,US IG,MFS MERIDIAN FUNDS CORPORATE BOND ACC,Fund
486,MLGCBA2 LX EQUITY,RENTA FIJA,RENTA FIJA,Global,BGF GLOBAL CORPORATE BOND A,Fund
487,MGLOA1U LX EQUITY,RENTA FIJA,RENTA FIJA,Global,MFS MERIDIAN GLB OPP BND FUND,Fund
488,STPX IM EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,SPDR MSCI EUROPE MATERIALS EUR ACC ETF,Fund
489,XDN0 GR EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,XTRACKERS MSCI NORDIC EUR DIST,Fund
490,BRJE1JY ID EQUITY,RENTA VARIABLE,RENTA VARIABLE,Japan,BLACKROCK INST POOLED EQUITY 1 JAPAN ACC J,Fund
491,MBIGLONV CI EQUITY,RENTA VARIABLE,RENTA VARIABLE,Global,MBI GLOBAL FONDO DE INVERSION A,Fund
492,MSGOPPA LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Global,MORGAN STANLEY INVF GLOBAL OPPORTUNITY FUND CLASS A,Fund
493,FODESTA CI EQUITY,RENTA FIJA,RENTA FIJA,Emerging Corp,FONDO MUTUO BANCHILE ESTRUCTURADO DOLAR II SERIE A,Fund
494,CHIQ US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,GLOBAL X FDS MSCICHINA CONSUMER DISCRETIONARY ETF,China
495,BTGCYFA CI EQUITY,RENTA FIJA,RENTA FIJA,Chile,BTG PACTUAL CREDITO Y FACTURAS FONDO DE INVERSION,Fund
496,BTGFGIA CI EQUITY,RENTA FIJA,RENTA FIJA,Chile,BTG FINANCIAMIENTO CON GARANTIA INMOBILIARIA FI,Fund
497,CFIDHS2A CI EQUITY,RENTA FIJA,RENTA FIJA,Chile,FONDO DE INV. LV DEUDA HIPOTECARIA CON SUBSIDIO II,Fund
498,CFIQRGA CI EQUITY,RENTA FIJA,RENTA FIJA,Chile,QUEST RENTA GLOBAL A,Fund
499,CFIQRGH CI EQUITY,RENTA FIJA,RENTA FIJA,Chile,QUEST RENTA GLOBAL HEDGE FONDO INVERSION,Fund
500,CFIRIII CI EQUITY,ACTIVO INMOBILIARIO,ACTIVO INMOBILIARIO,Chile,BTG PACTUAL RENTA COMERCIAL,Fund
501,CFIUSRE CI EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,FONDO DE INVERSION ETF SINGULAR S&P 500,Large Cap
502,CFIWEG1 CI EQUITY,RENTA FIJA,RENTA FIJA,Chile,FONDO DE INVERSION WEG-1,Fund
503,HMCRGBP CI EQUITY,RENTA FIJA,RENTA FIJA,Chile,HMC-RENTA GLOBAL PESOS-BP,Fund
504,LVDEPRU CI EQUITY,RENTA FIJA,RENTA FIJA,Chile,FI LARRAINVIAL DEUDA PRIVADA,Fund
505,LVPARI1 CI EQUITY,ACTIVO INMOBILIARIO,ACTIVO INMOBILIARIO,Chile,LV PATIO RENTA INMOBILIARIA,Fund
506,MBIDTB CI EQUITY,RENTA FIJA,RENTA FIJA,Chile,MBI DEUDA TOTAL FONDO DE INVERSION B,Fund
507,MORCLPR CI EQUITY,RENTA FIJA,RENTA FIJA,Chile,MONEDA RENTA CLP SERIE R,Fund
508,TOERIMA CI EQUITY,ACTIVO INMOBILIARIO,ACTIVO INMOBILIARIO,Chile,TOESCA RENTA INMOBILIARIA FONDO DE INVERSION,Fund
509,XSMC SW EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,X SWITZERLAND 1C,Fund
510,2112305D US EQUITY,PRIVATE DEBT,PRIVATE DEBT,Private Debt,APOLLO DEBT SOLUTIONS DBC,Private Debt
511,ACMEIID LX EQUITY,RENTA FIJA,RENTA FIJA,Europe,ALLIANCEBERNSTEIN EUROPEAN INCOME PORTFOLIO FUND CLASS I,Fund 
512,ACWI US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,MSCI ALL COUNTRY WORLD,Large Cap
513,AIRR US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,FIRST TRUST RBA AMERICAN INDUSTRIAL RENAISSANCE ETF,Small Cap
514,BEUD2UH LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,BGF EUROPEAN FUND CLASS D2 USD HEDGED,Open-End Fund
515,BGUHD2U LX EQUITY,RENTA FIJA,RENTA FIJA,Global HY,BLACKROCK USD HY BD USD ACC M,Fund
516,BRANEEI ID EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,BRANDES EUROPEAN VALUE CLASS I,Fund
517,BRJE1JY ID EQUITY,RENTA VARIABLE,RENTA VARIABLE,Japan,BLACKROCK INST POOLED EQUITY 1 JAPAN ACC J,Fund
518,CCLACDI LX EQUITY,RENTA FIJA,RENTA FIJA,Latin America,CREDICORP CAPITAL LATIN AMERICAN DEBT FUND I,Fund
519,CCLIGIU LX Equity,RENTA FIJA,RENTA FIJA,Latin America,CREDICORP LA AM IV GD-I USD,Fund
520,CEUU NA EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,ISHARES CORE MSCI EMU UCITS ETF ACCUM SHS HEDGED USD,Fund  
521,CFIQRGB CI EQUITY,RENTA FIJA,RENTA FIJA,Global,QUEST RENTA GLOBAL FONDO DE INV SERIE B,Fund
522,CHGRGLA CI EQUITY,RENTA FIJA,RENTA FIJA,Global,QUEST RENTA GLOBAL FONDO DE INV SERIE A,Fund 
523,CRTSORB KY EQUITY,PRIVATE DEBT,PRIVATE DEBT,Private Debt,CS BLUE OWL TECHNOLOGY INCOME FUND SPC,Private Debt
524,CSEMU SW EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,ISHARES CORE MSCI EMU EUR A,Fund
525,CSIFGEA SW EQUITY,COMMODITY,COMMODITY,Commodity,CREDIT SUISSE INDEX FUND (CH) II UMBRELLA - CSIF (CH) II GOLD BLUE,Commodity
526,CSINDU SW EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,SHARES DOW JONES INDUSTRIAL AVERAGE UCITS ETF,Large Cap
527,CSREITB KY EQUITY,ACTIVO INMOBILIARIO,ACTIVO INMOBILIARIO,Real Estate,BLACKSTONE REIT ACCESS FUND SPC,Real Estate
528,EMCA LN EQUITY,RENTA FIJA,RENTA FIJA,Emerging,ISHARES JP MORGAN USD EM CORP BOND UCITS ETF,Fund
529,EPOL US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,ISHARES MSCI POLAND ETF,Fund
530,ESIC GY EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,ISHARES EUROPE CONS DIS EURA ETF,Fund
531,ESIH GY EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,ISHARES MSCI EURO HEALTH SECT ETF,Sector
532,ESIN GY EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,ISHARES MSCI EU INDSTRIAL EUR ACC ETF,Sector
533,ESIT GY EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,ISHARES MSCI EURO IT SECT ETF,Sector
534,FOFVIAU CI EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,FONDO DE INVERSION F2 VC III,Sector
535,GIND US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,GOLDMAN SACHS INDIA EQUITY ETF,India
536,GLUH NA EQUITY,RENTA FIJA,RENTA FIJA,Europe,ISHARES II PLC - ISHARES CORE UK GI ETF,Fund
537,HCOM US EQUITY,COMMODITY,COMMODITY,Commodity,HARTFORD SCHRODERS COMMODITY,Commodity
538,HIGH LN EQUITY,RENTA FIJA,RENTA FIJA,Europe,ISHARES EUR HY CORP USD-H A,Fund
539,HST US EQUITY,ACTIVO INMOBILIARIO,ACTIVO INMOBILIARIO,Real Estate,HOST HOTELS & RESORTS INC,Real Estate
540,HTEC US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ROBO GLOBAL HEALTTHCARE TECHNOLOGY AND INNOVATION ETF,Sector
541,IBIT US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES BITCOIN ETF,Sector
542,ICDVAMC CI EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,AMERIS DVA MULTIAXIS FONDO DE INVERSION C,Large Cap
543,IEAU NA EQUITY,RENTA FIJA,RENTA FIJA,Europe,ISHARES CORE EUR CORP BOND UCITS,Fund
544,INLACAA LX EQUITY,RENTA FIJA,RENTA FIJA,Latin America,NINETY ONE GSF LATIN AMERICAN CORPORATE DEBT FUND CLASS A,Fund
545,INLACII LX EQUITY,RENTA FIJA,RENTA FIJA,Latin America,NINETY ONE LATIN AMERICAN CORPORATE DEBT I INC-2,Fund
546,ISAC LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES MSCI ACWI UCITS ETF,Large Cap
547,IWO US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES RUSSELL 2000 GRWTH ETF,Small Cap
548,JNCVFAA ID EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,JP MANSRT CANADA ACC A,Open-End Fund
549,JPEA LN EQUITY,RENTA FIJA,RENTA FIJA,Emerging,ISHARES J.P. MORGAN USD EM BOND UCITS ETF,Fund
550,JPMAIUA LX EQUITY,RENTA FIJA,RENTA FIJA,Global,JPM MULTI-MANAGER ALT USD ACC I2,Fund
551,JPMEEAU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,JPMORGAN EUROPE EQUITY FUND CLASS A,Open-End Fund
552,LASDIUA ID EQUITY,RENTA FIJA,RENTA FIJA,US IG,LORD ABBETT SHORT DUR INCOME FUND A,Fund
553,LFEGUBA LX EQUITY,RENTA FIJA,RENTA FIJA,Europe,LUMYNA EURO DEBT GOVT USD ACC B,Fund
554,LFUCUBA LX EQUITY,RENTA FIJA,RENTA FIJA,US IG,LUMYNA AMER DEBT CREDIT USD ACC B,Fund
555,LQDA LN EQUITY,RENTA FIJA,RENTA FIJA,US IG,ISHARES USD CORP BOND UCITS ETF,Fund
556,LUBAX US EQUITY,RENTA FIJA,RENTA FIJA,US IG,LORD ABBETT ULTRA SHORT BOND A (DIS),Fund
557,MEMDW1U LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,MFS EMERGING MARKETS DEBT FUND W SHARES,Fund
558,MESLU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,BLACKROCK GLOBAL EUROPEAN FUND A2,Open-End Fund
559,MFI1USD LX EQUITY,RENTA FIJA,RENTA FIJA,US IG,MFS MERIDIAN U.S. CORPORATE BOND FUND CLASS I1,Fund
560,MFLMW1U LX EQUITY,RENTA FIJA,RENTA FIJA,US IG,MFS MERIDIAN LIMITED MATURITY FUND CLASS W1 (USD),Fund
561,MFPCA1U LX EQUITY,RENTA FIJA,RENTA FIJA,Global,MFS MER-PRUDENT CAP-A1USD,Fund 
562,MIGOEAE LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,BGF-CONT EUR FLX-A2 EUR,Other
563,MIGSEUI LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,BGF-EUROPEAN FUND-A2 USD,Other
564,MLEUCCC LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,BGF-EUROPEAN-C2 USD,Other
565,MLGCUBA LX EQUITY,RENTA FIJA,RENTA FIJA,Global,LUMYNA GLB DBT CRDIT ACC B,Fund
566,MLGSUBA LX EQUITY,RENTA FIJA,RENTA FIJA,Latin America,LUMYNA- GLB DBT SECUR UCITS ACC B,Fund
567,MLJVA2U LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Japan,BGF JAPAN FLEXIBLE EQUITY FUND,Japan
568,MLJVC2U LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Japan,BGF-JAPAN FLX E-C2 USD CAP,Japan
569,MOCCIAU LX EQUITY,RENTA FIJA,RENTA FIJA,Latin America,MONEDA LUX LATIN AME CREDIT II FUND,Fund
