Dates,AACCHIA CI EQUITY,BCHDECH CI EQUITY,CCHIACB CI EQUITY,CELFFIB CI EQUITY,CFICOMDP CI EQUITY,CFIETFCC CI EQUITY,CFIMPIO CI EQUITY,CFIQAC CI EQUITY,DCORPCH CI EQUITY,ECH US EQUITY,FALCFIW CI EQUITY,FALCTNV CI EQUITY,IMTDECI CI EQUITY,IMTSCLI CI EQUITY,MBIARANV CI EQUITY,MBIRFANV CI EQUITY,MODUECH CI EQUITY,MRCLP CI EQUITY,TCHIEQB CI EQUITY,TOESCA CI EQUITY
2013-10-29,,,791.96,61413.6584,28005.9554,,7589.78,,25084.1914,54.9777,,,,1074.19,48495.4663,,,,,
2013-10-30,,,798.56,61376.3432,28016.692,,7587.7258,,25097.4685,55.3025,,,,1074.892,48817.6652,,,,,
2013-10-31,,,798.46,61374.6802,28020.2426,,7590.0553,,25103.0083,54.1763,,,,1075.136,48900.9977,,,,,
2013-11-01,,,798.36,61373.0172,28023.1172,,7588.0254,,25108.8823,54.1655,,,,1075.391,48857.8893,,,,,
2013-11-04,,,797.48,61148.9661,28030.1991,,7587.653,,25121.5113,55.2701,,,,1075.964,48997.2506,,,,,
2013-11-05,,,798.1,60759.696,28053.6712,,7632.7722,,25132.4895,54.2955,,,,1077.057,49358.4306,,,,,
2013-11-06,,,795.67,60456.669,28074.0973,,7626.9818,,25146.0908,54.3063,,,,1076.475,49306.8325,,,,,
2013-11-07,,,793.45,59820.696,28107.2346,,7600.4267,,25158.3856,53.6457,,,,1077.301,49330.2868,,,,,
2013-11-08,,,785.0,59903.9808,28125.0254,,7578.9376,,25197.6601,52.6062,,,,1077.405,48653.1595,,,,,
2013-11-11,,,775.47,59671.5571,28122.0487,,7525.9401,,25201.0934,51.8806,,,,1078.109,48084.1933,,,8093.35,,
2013-11-12,,,774.45,59717.2304,28117.646,,7527.7442,,25188.0795,51.9131,,,,1077.608,47911.8468,,,8093.35,,
2013-11-13,,,759.79,58997.6022,28132.5722,,7435.9996,,25171.5716,51.859,,,,1077.06,47196.5298,,,8110.0,,
2013-11-14,,,755.98,58629.6157,28154.1986,,7405.8082,,25200.6275,52.6278,,,,1077.386,47176.5255,,,8110.0,,
2013-11-15,,,764.5,58786.1064,28181.7112,,7467.8456,,25216.072,53.0393,,,,1077.892,47746.9578,,,8110.0,,
2013-11-18,,,769.47,58740.6517,28178.5179,,7508.0406,,25230.6657,53.6024,,,,1078.236,48372.8188,,,8110.0,,
2013-11-19,,,767.45,58755.8564,28198.9233,,7479.7629,,25236.4181,52.5953,,,,1078.537,48159.3245,,,8110.0,,
2013-11-20,,,763.94,58795.3393,28229.0357,,7464.4283,,25252.8247,51.9781,,,,1079.222,47571.8166,,,8110.0,,
2013-11-21,,,754.66,58338.9014,28219.9443,,7458.5633,,25266.8007,51.2093,,,,1079.974,47003.0967,,,8110.0,,
2013-11-22,,,751.16,58546.9304,28188.2151,,7421.5596,,25252.5715,51.4475,,,,1079.19,46739.3772,,,8110.0,,
2013-11-25,,,751.94,58754.2468,28153.6657,,7459.3369,,25257.7062,50.9061,,,,1078.311,46785.3038,,,8276.0,,
2013-11-26,,,743.2,58325.0047,28134.9874,,7395.8231,,25261.5141,50.7978,,,,1079.376,46148.3439,,,8276.0,,
2013-11-27,,,746.78,58212.9448,28132.6041,,7409.757,,25250.6574,50.8519,,,,1079.11,46461.7407,,,8276.0,,
2013-11-28,,,754.01,58477.8019,28125.703,,7507.2485,,25243.4568,50.8519,,,,1078.475,47105.66,,,8276.0,,
2013-11-29,,,760.43,58786.3676,28117.1175,,7546.8112,,25253.6957,51.4258,,,,1079.411,47849.4328,,,8276.0,,
2013-12-02,,,769.02,60663.0452,28126.005,,7583.9783,,25271.1252,50.1156,,,,1079.776,48174.8711,,,8276.0,,
2013-12-03,,,759.99,59885.4537,28112.275,,7511.6353,,25260.3495,49.8882,,,,1079.927,47563.0483,,,8276.0,,
2013-12-04,,,759.43,59835.4009,28110.2996,,7536.6668,,25273.8596,49.9098,,,,1080.605,47539.4219,,,8276.0,,
2013-12-05,,,763.85,59608.8686,28125.9411,,7537.1693,,25265.9399,50.343,,,,1080.989,47681.6218,,,8276.0,,
2013-12-06,,,762.16,59681.1319,28130.6995,,7527.6055,,25287.6533,50.6245,,,,1081.355,47807.3111,,,8080.0,,
2013-12-09,,,758.37,59742.2095,28128.4887,,7518.4366,,25300.3735,50.2563,,,,1082.407,47710.8081,,,8080.0,,
2013-12-10,,,759.43,59607.0788,28141.8044,,7519.2762,,25298.6113,50.0722,,,,1081.613,47734.8523,,,8080.0,,
2013-12-11,,,757.59,59240.33,28152.0331,,7501.7235,,25301.771,49.455,,,,1081.385,47577.7018,,,8080.0,,
2013-12-12,,,751.23,59152.4764,28134.1124,,7501.2323,,25287.0254,49.3684,,,,1081.601,47381.489,,,8080.0,,
2013-12-13,,,749.27,59227.0114,28137.8751,,7475.7033,,25292.8487,49.6391,,,,1081.465,47253.9309,,,8080.0,,
2013-12-16,,,747.59,59181.8291,28141.1263,,7477.6192,,25292.8487,50.5487,,,,1081.085,47434.8734,,,8080.0,,
2013-12-17,,,749.99,59298.9085,28138.0316,,7473.4367,,25292.8487,50.1914,,,,1081.402,47745.6533,,,8080.0,,
